email_id,sender_email,subject,has_link,has_attachment,urgency_score,spelling_errors,email_length_words,is_phishing,sender_email_clean,subject_clean,sender_domain,subject_word_count
1,harrisonsandra@paypal-alert.com,Meeting Reminder,0,1,2,0,227,0,harrisonsandra paypal alert com,meeting reminder,paypal-alert.com,2
2,randyharris@bankverify.net,Urgent Account Verification,1,1,9,7,59,1,randyharris bankverify net,urgent account verification,bankverify.net,3
3,adam13@outlook.com,Suspicious Login Attempt,1,1,8,10,67,1,adam13 outlook com,suspicious login attempt,outlook.com,3
4,kennethfisher@company-secure.com,Suspicious Login Attempt,0,1,9,8,102,1,kennethfisher company secure com,suspicious login attempt,company-secure.com,3
5,wsandoval@paypal-alert.com,Your Password Will Expire,1,0,7,4,96,1,wsandoval paypal alert com,your password will expire,paypal-alert.com,4
6,dflores@company-secure.com,Claim Your Reward Now,0,0,10,4,88,1,dflores company secure com,claim your reward now,company-secure.com,4
7,hillanthony@gmail.com,Interview Schedule,0,0,2,2,112,0,hillanthony gmail com,interview schedule,gmail.com,2
8,yhansen@paypal-alert.com,Urgent Account Verification,1,0,10,10,84,1,yhansen paypal alert com,urgent account verification,paypal-alert.com,3
9,robinsoncory@gmail.com,Invoice Attached,1,0,5,2,191,0,robinsoncory gmail com,invoice attached,gmail.com,2
10,josephwilcox@bankverify.net,Invoice Attached,0,1,4,2,173,0,josephwilcox bankverify net,invoice attached,bankverify.net,2
11,loganramsey@bankverify.net,Project Update,1,1,5,2,125,0,loganramsey bankverify net,project update,bankverify.net,2
12,sharpshawn@paypal-alert.com,Bank Account Locked,1,1,8,3,41,1,sharpshawn paypal alert com,bank account locked,paypal-alert.com,3
13,vcollins@bankverify.net,Meeting Reminder,1,1,3,2,271,0,vcollins bankverify net,meeting reminder,bankverify.net,2
14,joneslisa@company-secure.com,Project Update,0,1,2,0,214,0,joneslisa company secure com,project update,company-secure.com,2
15,cynthia11@bankverify.net,Interview Schedule,0,1,4,2,259,0,cynthia11 bankverify net,interview schedule,bankverify.net,2
16,ashleyrivera@paypal-alert.com,Claim Your Reward Now,1,1,9,3,35,1,ashleyrivera paypal alert com,claim your reward now,paypal-alert.com,4
17,ltapia@gmail.com,Urgent Account Verification,1,0,8,9,101,1,ltapia gmail com,urgent account verification,gmail.com,3
18,vbrown@paypal-alert.com,Interview Schedule,0,1,3,1,101,0,vbrown paypal alert com,interview schedule,paypal-alert.com,2
19,jonesjennifer@gmail.com,Meeting Reminder,0,1,3,1,167,0,jonesjennifer gmail com,meeting reminder,gmail.com,2
20,karenwaller@company-secure.com,Bank Account Locked,1,1,9,9,114,1,karenwaller company secure com,bank account locked,company-secure.com,3
21,rpowers@paypal-alert.com,Bank Account Locked,1,1,7,10,110,1,rpowers paypal alert com,bank account locked,paypal-alert.com,3
22,henryjohn@gmail.com,Project Update,1,1,2,2,230,0,henryjohn gmail com,project update,gmail.com,2
23,kocheileen@bankverify.net,Project Update,1,1,5,1,253,0,kocheileen bankverify net,project update,bankverify.net,2
24,stewartjames@bankverify.net,Claim Your Reward Now,1,1,8,4,118,1,stewartjames bankverify net,claim your reward now,bankverify.net,4
25,wbecker@paypal-alert.com,Urgent Account Verification,1,1,7,9,108,1,wbecker paypal alert com,urgent account verification,paypal-alert.com,3
26,patrickterry@company-secure.com,Bank Account Locked,1,1,7,7,35,1,patrickterry company secure com,bank account locked,company-secure.com,3
27,brittanygarcia@company-secure.com,Invoice Attached,1,0,1,0,132,0,brittanygarcia company secure com,invoice attached,company-secure.com,2
28,parkmelissa@bankverify.net,Suspicious Login Attempt,1,1,10,7,33,1,parkmelissa bankverify net,suspicious login attempt,bankverify.net,3
29,clarkrebecca@outlook.com,Bank Account Locked,1,0,8,3,83,1,clarkrebecca outlook com,bank account locked,outlook.com,3
30,adam47@outlook.com,Urgent Account Verification,1,0,10,6,114,1,adam47 outlook com,urgent account verification,outlook.com,3
31,veronica94@bankverify.net,Project Update,1,1,3,1,266,0,veronica94 bankverify net,project update,bankverify.net,2
32,jacksonsarah@outlook.com,Claim Your Reward Now,1,0,8,6,56,1,jacksonsarah outlook com,claim your reward now,outlook.com,4
33,dpatrick@gmail.com,Invoice Attached,0,0,1,1,255,0,dpatrick gmail com,invoice attached,gmail.com,2
34,robertobrien@bankverify.net,Meeting Reminder,0,0,3,0,291,0,robertobrien bankverify net,meeting reminder,bankverify.net,2
35,kennethtaylor@bankverify.net,Claim Your Reward Now,1,1,7,6,44,1,kennethtaylor bankverify net,claim your reward now,bankverify.net,4
36,fmartin@company-secure.com,Project Update,0,1,4,0,247,0,fmartin company secure com,project update,company-secure.com,2
37,joshua14@outlook.com,Your Password Will Expire,1,1,10,5,117,1,joshua14 outlook com,your password will expire,outlook.com,4
38,jonespatricia@bankverify.net,Invoice Attached,0,0,2,2,246,0,jonespatricia bankverify net,invoice attached,bankverify.net,2
39,lwashington@paypal-alert.com,Meeting Reminder,1,0,5,2,261,0,lwashington paypal alert com,meeting reminder,paypal-alert.com,2
40,annagutierrez@paypal-alert.com,Meeting Reminder,1,1,1,0,149,0,annagutierrez paypal alert com,meeting reminder,paypal-alert.com,2
41,sarahrose@gmail.com,Project Update,0,0,3,0,283,0,sarahrose gmail com,project update,gmail.com,2
42,hryan@company-secure.com,Weekly Newsletter,0,1,5,2,115,0,hryan company secure com,weekly newsletter,company-secure.com,2
43,freemankimberly@outlook.com,Your Password Will Expire,1,1,8,4,64,1,freemankimberly outlook com,your password will expire,outlook.com,4
44,brennanrichard@outlook.com,Weekly Newsletter,1,1,1,2,152,0,brennanrichard outlook com,weekly newsletter,outlook.com,2
45,lisarichard@bankverify.net,Claim Your Reward Now,1,1,7,9,81,1,lisarichard bankverify net,claim your reward now,bankverify.net,4
46,stewarttheresa@outlook.com,Invoice Attached,1,0,1,2,145,0,stewarttheresa outlook com,invoice attached,outlook.com,2
47,louisrodriguez@company-secure.com,Invoice Attached,1,0,5,2,145,0,louisrodriguez company secure com,invoice attached,company-secure.com,2
48,phamcrystal@outlook.com,Suspicious Login Attempt,1,0,8,4,48,1,phamcrystal outlook com,suspicious login attempt,outlook.com,3
49,edwardsalex@company-secure.com,Claim Your Reward Now,1,1,8,3,40,1,edwardsalex company secure com,claim your reward now,company-secure.com,4
50,joshua42@outlook.com,Bank Account Locked,1,0,8,4,118,1,joshua42 outlook com,bank account locked,outlook.com,3
51,ehopkins@paypal-alert.com,Invoice Attached,0,1,1,2,199,0,ehopkins paypal alert com,invoice attached,paypal-alert.com,2
52,thomasdiaz@gmail.com,Meeting Reminder,0,0,5,1,114,0,thomasdiaz gmail com,meeting reminder,gmail.com,2
53,katiebaker@outlook.com,Urgent Account Verification,1,1,7,10,65,1,katiebaker outlook com,urgent account verification,outlook.com,3
54,williamrivers@company-secure.com,Suspicious Login Attempt,1,1,7,5,101,1,williamrivers company secure com,suspicious login attempt,company-secure.com,3
55,smithsteven@gmail.com,Weekly Newsletter,1,1,4,2,106,0,smithsteven gmail com,weekly newsletter,gmail.com,2
56,kellymiller@bankverify.net,Suspicious Login Attempt,1,0,8,5,86,1,kellymiller bankverify net,suspicious login attempt,bankverify.net,3
57,hoodmary@gmail.com,Weekly Newsletter,0,1,4,0,268,0,hoodmary gmail com,weekly newsletter,gmail.com,2
58,charleslamb@bankverify.net,Suspicious Login Attempt,1,0,9,6,52,1,charleslamb bankverify net,suspicious login attempt,bankverify.net,3
59,beverlyblackburn@gmail.com,Your Password Will Expire,1,1,9,6,76,1,beverlyblackburn gmail com,your password will expire,gmail.com,4
60,roblesthomas@company-secure.com,Invoice Attached,0,0,3,1,153,0,roblesthomas company secure com,invoice attached,company-secure.com,2
61,taylorhutchinson@bankverify.net,Claim Your Reward Now,0,0,8,10,118,1,taylorhutchinson bankverify net,claim your reward now,bankverify.net,4
62,wallacekelsey@outlook.com,Bank Account Locked,1,0,10,3,39,1,wallacekelsey outlook com,bank account locked,outlook.com,3
63,yrobertson@bankverify.net,Bank Account Locked,1,1,8,5,37,1,yrobertson bankverify net,bank account locked,bankverify.net,3
64,nathaniel43@gmail.com,Meeting Reminder,0,0,4,2,99,0,nathaniel43 gmail com,meeting reminder,gmail.com,2
65,vmelendez@company-secure.com,Invoice Attached,0,0,2,0,172,0,vmelendez company secure com,invoice attached,company-secure.com,2
66,jennifermunoz@gmail.com,Meeting Reminder,0,1,3,0,156,0,jennifermunoz gmail com,meeting reminder,gmail.com,2
67,wfoster@company-secure.com,Invoice Attached,0,0,2,2,293,0,wfoster company secure com,invoice attached,company-secure.com,2
68,matthew64@outlook.com,Suspicious Login Attempt,1,0,8,6,33,1,matthew64 outlook com,suspicious login attempt,outlook.com,3
69,sharon88@outlook.com,Invoice Attached,1,0,1,2,190,0,sharon88 outlook com,invoice attached,outlook.com,2
70,ruth60@company-secure.com,Claim Your Reward Now,1,0,7,9,64,1,ruth60 company secure com,claim your reward now,company-secure.com,4
71,cynthia97@paypal-alert.com,Your Password Will Expire,0,0,10,6,106,1,cynthia97 paypal alert com,your password will expire,paypal-alert.com,4
72,ataylor@paypal-alert.com,Claim Your Reward Now,0,0,7,3,53,1,ataylor paypal alert com,claim your reward now,paypal-alert.com,4
73,mwhite@bankverify.net,Weekly Newsletter,1,0,3,2,202,0,mwhite bankverify net,weekly newsletter,bankverify.net,2
74,edwardsraymond@company-secure.com,Bank Account Locked,1,0,9,10,60,1,edwardsraymond company secure com,bank account locked,company-secure.com,3
75,morgandavid@paypal-alert.com,Bank Account Locked,1,0,7,4,72,1,morgandavid paypal alert com,bank account locked,paypal-alert.com,3
76,jill04@bankverify.net,Project Update,0,1,1,0,249,0,jill04 bankverify net,project update,bankverify.net,2
77,scottcooper@gmail.com,Project Update,1,1,3,1,140,0,scottcooper gmail com,project update,gmail.com,2
78,oroman@gmail.com,Interview Schedule,1,0,3,0,147,0,oroman gmail com,interview schedule,gmail.com,2
79,mooreadrian@paypal-alert.com,Project Update,0,1,4,2,226,0,mooreadrian paypal alert com,project update,paypal-alert.com,2
80,melissa06@gmail.com,Interview Schedule,0,1,4,0,107,0,melissa06 gmail com,interview schedule,gmail.com,2
81,terrence42@gmail.com,Interview Schedule,0,1,2,0,100,0,terrence42 gmail com,interview schedule,gmail.com,2
82,eallen@bankverify.net,Claim Your Reward Now,0,0,8,9,90,1,eallen bankverify net,claim your reward now,bankverify.net,4
